Ottoneu ID,Name,FG ID,FG Minor ID,MLBAM ID,Birthday,Positions,Bats,Throws,Last Check,Confidence,wOBA,vs LHP,vs RHP,q1,q2,q3,q4,q5
38378,Coby Mayo,28312,sa3014479,691723,10 Dec 2001,1B/3B,R,R,18 Jun 2025,Projection,0.314,0.324,0.295,,,,,
38388,Tyler Soderstrom,27467,sa3014489,691016,24 Nov 2001,C/1B,L,R,18 Jun 2025,Projection,0.318,0.289,0.329,,,,,
38389,Evan Carter,27790,sa3014490,694497,29 Aug 2002,OF,L,R,18 Jun 2025,Projection,0.322,0.289,0.335,,,,,
38398,Jordan Westburg,27815,sa3014499,676059,18 Feb 1999,2B/3B,R,R,18 Jun 2025,Projection,0.336,0.338,0.331,,,,,
38404,Masyn Winn,27479,sa3014506,691026,21 Mar 2002,SS,R,R,18 Jun 2025,Projection,0.321,0.325,0.313,,,,,
38436,Nick Yorke,27504,sa3014546,694377,2 Apr 2002,2B/OF,R,R,18 Jun 2025,Projection,0.310,0.318,0.302,,,,,
38456,Emmanuel Rodríguez,,sa3014693,691181,28 Feb 2003,OF,L,L,18 Jun 2025,Projection,0.309,0.271,0.305,,,,,
39108,Junior Caminero,28163,sa3015532,691406,5 Jul 2003,3B,R,R,18 Jun 2025,Projection,0.338,0.344,0.324,,,,,
39277,Jackson Chourio,28806,sa3015704,694192,11 Mar 2004,OF,R,R,18 Jun 2025,Projection,0.344,0.349,0.323,,,,,
39978,Colton Cowser,29591,sa3017018,681297,20 Mar 2000,OF,L,R,18 Jun 2025,Projection,0.327,0.297,0.335,,,,,
40052,Henry Davis,29617,sa3017042,680779,21 Sep 1999,C,R,R,18 Jun 2025,Projection,0.299,0.311,0.296,,,,,
40095,Marcelo Mayer,,sa3017114,691785,12 Dec 2002,SS,L,R,18 Jun 2025,Projection,0.293,0.261,0.304,,,,,
40142,Jackson Merrill,29490,sa3016829,701538,19 Apr 2003,OF,L,R,18 Jun 2025,Projection,0.347,0.319,0.350,,,,,
40188,James Wood,29518,sa3016870,695578,17 Sep 2002,OF,L,R,18 Jun 2025,Projection,0.346,0.322,0.358,,,,,
40251,Tim Tawa,,sa3016970,694374,7 Apr 1999,1B/2B/OF,R,R,18 Jun 2025,Projection,0.289,0.297,0.294,,,,,
40255,Ben Rice,29576,sa3016974,700250,22 Feb 1999,C/1B,L,R,18 Jun 2025,Projection,0.319,0.294,0.327,,,,,
40260,Jordan Lawlar,29976,sa3017662,691783,17 Jul 2002,Util,R,R,18 Jun 2025,Projection,0.303,0.314,0.289,,,,,
40266,Carson Williams,,sa3017795,700246,25 Jun 2003,SS,R,R,18 Jun 2025,Projection,0.290,0.299,0.267,,,,,
40284,Connor Norby,29592,sa3017019,681393,8 Jun 2000,2B/3B/OF,R,R,18 Jun 2025,Projection,0.309,0.317,0.301,,,,,
40317,Will Wagner,29634,sa3017079,695238,29 Jul 1998,1B/2B,L,R,18 Jun 2025,Projection,0.333,0.307,0.330,,,,,
40371,Matt McLain,29695,sa3017154,680574,6 Aug 1999,Util,R,R,18 Jun 2025,Projection,0.337,0.350,0.304,,,,,
40389,Hunter Goodman,29715,sa3017173,696100,8 Oct 1999,C/OF,R,R,18 Jun 2025,Projection,0.303,0.311,0.296,,,,,
40456,Zack Gelof,29766,sa3017286,680869,19 Oct 1999,2B,R,R,18 Jun 2025,Projection,0.302,0.306,0.311,,,,,
40508,Kyle Manzardo,29794,sa3017342,700932,18 Jul 2000,1B,L,R,18 Jun 2025,Projection,0.333,0.305,0.332,,,,,
40641,Jacob Young,29931,sa3017563,696285,27 Jul 1999,OF,R,R,18 Jun 2025,Projection,0.296,0.301,0.295,,,,,
40748,Christian Encarnacion-Strand,30011,sa3017756,687952,1 Dec 1999,1B,R,R,18 Jun 2025,Projection,0.327,0.334,0.313,,,,,
40927,Seiya Suzuki,30116,sa3018052,673548,18 Aug 1994,OF,R,R,18 Jun 2025,Projection,0.339,0.356,0.332,,,,,
41342,Josue De Paula,,sa3018591,800543,24 May 2005,OF,L,L,18 Jun 2025,Projection,0.274,0.244,0.291,,,,,
42126,Jackson Holliday,31781,sa3020241,702616,4 Dec 2003,2B,L,R,18 Jun 2025,Projection,0.316,0.289,0.319,,,,,
42146,Brooks Lee,31595,sa3019973,686797,14 Feb 2001,2B/SS/3B,B,R,18 Jun 2025,Projection,0.310,0.309,0.311,,,,,
42156,Zach Neto,31347,sa3019855,687263,31 Jan 2001,SS,R,R,18 Jun 2025,Projection,0.330,0.338,0.321,,,,,
42176,Chase DeLauter,,sa3021053,800050,8 Oct 2001,OF,L,L,18 Jun 2025,Projection,0.322,0.285,0.327,,,,,
42193,Dalton Rushing,,sa3019892,687221,21 Feb 2001,C/OF,L,R,18 Jun 2025,Projection,0.314,0.278,0.313,,,,,
42221,Drake Baldwin,,sa3019920,686948,28 Mar 2001,C,L,R,18 Jun 2025,Projection,0.302,0.268,0.322,,,,,
42408,Zach Dezenzo,31562,sa3020209,701305,11 May 2000,1B/3B,L,R,18 Jun 2025,Projection,0.306,0.312,0.293,,,,,
42409,Roman Anthony,,sa3020211,701350,13 May 2004,OF,L,R,18 Jun 2025,Projection,0.313,0.276,0.324,,,,,
42410,Alan Roden,,sa3020212,702176,22 Dec 1999,OF,L,R,18 Jun 2025,Projection,0.319,0.285,0.326,,,,,
42428,Justin Crawford,,sa3020240,702222,13 Jan 2004,OF,L,R,18 Jun 2025,Projection,0.299,0.268,0.309,,,,,
43893,Max Clark,,sa3022683,703601,21 Dec 2004,OF,L,L,18 Jun 2025,Projection,0.256,0.231,0.278,,,,,
43896,Wyatt Langford,33333,sa3022654,694671,15 Nov 2001,OF,R,R,18 Jun 2025,Projection,0.343,0.349,0.324,,,,,
43932,Nolan Schanuel,33189,sa3022430,694384,14 Feb 2002,1B,L,R,18 Jun 2025,Projection,0.336,0.312,0.353,,,,,
44003,Jacob Wilson,33266,sa3022538,805779,30 Mar 2002,SS,R,R,18 Jun 2025,Projection,0.335,0.336,0.358,,,,,
44147,Bryce Eldridge,,sa3022757,805811,20 Oct 2004,1B,L,R,18 Jun 2025,Projection,0.301,0.266,0.299,,,,,
44308,Kristian Campbell,,sa3023011,692225,28 Jun 2002,2B/SS/OF,R,R,18 Jun 2025,Projection,0.331,0.336,0.307,,,,,
44524,Jung Hoo Lee,33824,sa3012640,808982,20 Aug 1998,OF,L,R,18 Jun 2025,Projection,0.344,0.320,0.348,,,,,
45714,Cam Smith,,sa3025358,701358,22 Feb 2003,3B,R,R,18 Jun 2025,Projection,0.267,0.274,0.296,,,,,
42722,Masataka Yoshida,31837,,807799,15 Jul 1993,Util,R,R,18 Jun 2025,Projection,0.337,0.310,0.366,,,,,
23792,Jo Adell,20220,sa3004837,666176,8 Apr 1999,OF,R,R,18 Jun 2025,Projection,0.310,0.324,0.299,,,,,
42277,Jordan Beck,31431,sa3019981,687597,19 Apr 2001,OF,R,R,18 Jun 2025,Projection,0.295,0.305,0.288,,,,,
43966,Matt Shaw,,sa3022615,807713,6 Nov 2001,2B/SS/3B,R,R,18 Jun 2025,Projection,0.312,0.322,0.312,,,,,
18890,Edmundo Sosa,17022,sa736859,624641,6 Mar 1996,2B/SS/3B,R,R,18 Jun 2025,Projection,0.298,0.303,0.293,,,,,
37843,Kameron Misner,26374,sa3011656,670224,8 Jan 1998,OF,L,L,18 Jun 2025,Projection,0.280,0.254,0.288,,,,,
14914,Nick Castellanos,11737,sa548164,592206,4 Mar 1992,OF,R,R,18 Jun 2025,Projection,0.317,0.329,0.312,,,,,
38402,Thomas Saggese,27883,sa3014503,695336,10 Apr 2002,2B/SS,R,R,18 Jun 2025,Projection,0.295,0.303,0.292,,,,,
44057,Luke Keaschall,,sa3022614,807712,15 Aug 2002,2B,R,R,18 Jun 2025,Projection,0.311,0.318,0.311,,,,,
26080,Christopher Morel,21897,sa3003171,666624,24 Jun 1999,2B/3B/OF,R,R,18 Jun 2025,Projection,0.323,0.334,0.307,,,,,
42304,Chase Meidroth,,sa3020011,805367,23 Jul 2001,SS/3B,R,R,18 Jun 2025,Projection,0.318,0.322,0.324,,,,,
37480,Kyle Stowers,26151,sa1115829,669065,2 Jan 1998,OF,L,L,18 Jun 2025,Projection,0.308,0.284,0.313,,,,,
45708,Christian Moore,,sa3025168,695681,21 Oct 2002,2B,R,R,18 Jun 2025,Projection,0.297,0.305,0.279,,,,,
